Planet Name,Type,Mass (Earth),Orbit Radius (AU),Discovery Year,Discovered By
Planet-67,Dwarf Planet,252.56,75.479,1956,Hubble
Planet-68,Dwarf Planet,75.07,6.332,1950,JWST
Planet-69,Gas Giant,470.38,94.877,2020,Galileo
Planet-70,Ice Giant,474.52,4.761,2000,Kepler
Planet-71,Gas Giant,721.05,62.777,1924,Hubble
Planet-72,Ice Giant,89.07,11.767,1926,Hubble
Planet-73,Gas Giant,834.07,83.003,1968,Spitzer
Planet-74,Ice Giant,431.33,21.051,2013,Voyager
Planet-75,Ice Giant,833.29,31.425,2020,Hubble
Planet-76,Terrestrial,50.51,33.499,1925,Voyager
Planet-77,Ice Giant,814.23,88.918,1971,JWST
Planet-78,Dwarf Planet,543.45,6.461,1995,Kepler
Planet-79,Ice Giant,280.43,50.768,2014,JWST
Planet-80,Exoplanet,537.43,69.871,1981,Kepler
Planet-81,Exoplanet,249.81,74.19,2001,James Webb
Planet-82,Exoplanet,478.78,83.597,1982,Ground Telescope
Planet-83,Exoplanet,786.16,91.478,1911,James Webb
Planet-84,Dwarf Planet,793.26,18.848,1978,Ground Telescope
Planet-85,Dwarf Planet,982.54,39.194,1988,Hubble
Planet-86,Gas Giant,730.9,74.798,1940,Hubble
Planet-87,Dwarf Planet,115.57,97.154,2012,Hubble
Planet-88,Terrestrial,75.75,14.421,2007,James Webb
Planet-89,Gas Giant,119.89,44.448,1900,Ground Telescope
Planet-90,Terrestrial,32.79,31.073,1931,TESS
Planet-91,Ice Giant,762.77,56.17,1944,Voyager
Planet-92,Terrestrial,302.73,61.407,1953,Hubble
Planet-93,Gas Giant,931.62,79.616,1959,Hubble
Planet-94,Exoplanet,32.22,92.529,2020,Chandra
Planet-95,Dwarf Planet,678.19,28.23,1950,James Webb
Planet-96,Exoplanet,26.11,9.746,1990,Galileo
Planet-97,Exoplanet,940.82,87.187,1979,Galileo
Planet-98,Gas Giant,292.56,13.131,1921,Hubble
Planet-99,Gas Giant,36.79,72.634,1996,Voyager
Planet-100,Terrestrial,998.72,3.842,1957,James Webb
Planet-101,Ice Giant,121.49,51.234,1933,Spitzer
Planet-102,Terrestrial,378.46,54.743,1900,Chandra
Planet-103,Dwarf Planet,933.1,87.508,1991,Chandra
Planet-104,Ice Giant,812.79,69.978,1969,Ground Telescope
Planet-105,Gas Giant,264.48,41.666,2003,Ground Telescope
Planet-106,Exoplanet,746.0,33.164,1984,Hubble
Planet-107,Ice Giant,749.85,61.472,1990,Kepler
Planet-108,Gas Giant,577.49,47.812,2004,James Webb
Planet-109,Ice Giant,526.67,4.814,2017,Galileo
Planet-110,Exoplanet,587.68,19.691,1923,Voyager
Planet-111,Gas Giant,107.66,36.059,1942,Galileo
Planet-112,Exoplanet,852.69,77.754,1966,James Webb
Planet-113,Terrestrial,408.36,87.845,1969,Chandra
Planet-114,Ice Giant,455.35,54.81,1975,Kepler
Planet-115,Dwarf Planet,524.93,50.886,1980,Voyager
Planet-116,Terrestrial,383.79,8.598,1949,Chandra
Planet-117,Dwarf Planet,567.8,78.859,1996,JWST
Planet-118,Exoplanet,967.99,34.771,2007,Chandra
Planet-119,Ice Giant,520.27,89.831,1976,TESS
Planet-120,Ice Giant,333.23,3.461,1949,Chandra
Planet-121,Ice Giant,644.85,4.404,1977,Hubble
Planet-122,Dwarf Planet,657.01,47.172,1965,Kepler
Planet-123,Ice Giant,809.38,25.329,1971,JWST
Planet-124,Dwarf Planet,110.37,77.545,1958,JWST
Planet-125,Gas Giant,238.3,94.806,1929,JWST
Planet-126,Dwarf Planet,448.25,41.099,2018,Hubble
Planet-127,Gas Giant,936.8,18.136,1921,Voyager
Planet-128,Ice Giant,168.26,76.717,2006,Ground Telescope
Planet-129,Terrestrial,809.38,93.3,1932,Galileo
Planet-130,Dwarf Planet,497.63,16.649,2015,Chandra
Planet-131,Terrestrial,743.72,28.701,1936,Voyager
Planet-132,Ice Giant,487.41,76.426,1976,Chandra
Planet-133,Exoplanet,453.8,6.769,1957,Hubble
Planet-134,Ice Giant,508.02,23.131,2014,Ground Telescope
Planet-135,Exoplanet,831.15,58.564,1993,Voyager
Planet-136,Dwarf Planet,158.67,21.663,1926,Kepler
Planet-137,Ice Giant,476.33,20.549,1982,Galileo
Planet-138,Dwarf Planet,456.13,23.644,2001,Spitzer
Planet-139,Gas Giant,592.59,20.072,2016,Spitzer
Planet-140,Gas Giant,121.07,21.707,1904,Spitzer
Planet-141,Exoplanet,295.72,20.907,1973,TESS
Planet-142,Gas Giant,830.67,80.656,1945,Ground Telescope
Planet-143,Exoplanet,476.25,61.558,1998,Kepler
Planet-144,Ice Giant,206.88,11.676,1901,Chandra
Planet-145,Ice Giant,891.07,45.423,1935,Chandra
Planet-146,Ice Giant,100.67,63.668,1969,TESS
Planet-147,Dwarf Planet,55.97,57.217,1947,JWST
Planet-148,Ice Giant,158.84,23.541,1940,Hubble
Planet-149,Gas Giant,396.34,52.604,1940,Spitzer
Planet-150,Dwarf Planet,515.7,85.17,1907,TESS
Planet-151,Ice Giant,823.21,28.173,1998,Galileo
Planet-152,Ice Giant,393.78,39.407,1906,Voyager
Planet-153,Terrestrial,417.48,70.64,1963,JWST
Planet-154,Exoplanet,908.19,2.68,2006,JWST
Planet-155,Dwarf Planet,893.68,1.88,1923,Ground Telescope
Planet-156,Dwarf Planet,518.94,12.023,1995,Galileo
Planet-157,Dwarf Planet,362.93,40.359,1967,TESS
Planet-158,Gas Giant,106.26,83.462,2005,Ground Telescope
Planet-159,Exoplanet,291.75,10.922,1950,Kepler
Planet-160,Terrestrial,621.63,5.226,1909,Voyager
Planet-161,Ice Giant,667.0,8.182,1941,TESS
Planet-162,Ice Giant,451.89,36.873,1923,Ground Telescope
Planet-163,Gas Giant,43.47,90.991,1970,Chandra
Planet-164,Gas Giant,775.33,46.783,1910,Kepler
Planet-165,Ice Giant,827.76,12.384,2001,Voyager
Planet-166,Dwarf Planet,129.85,3.529,2006,Galileo
Planet-167,Gas Giant,540.22,17.764,2007,Kepler
Planet-168,Terrestrial,485.2,84.214,1941,TESS
Planet-169,Ice Giant,575.77,63.901,2003,James Webb
Planet-170,Terrestrial,342.33,25.453,1981,Voyager
Planet-171,Exoplanet,420.69,49.518,1987,Voyager
Planet-172,Exoplanet,829.48,17.577,1994,Spitzer
Planet-173,Gas Giant,485.98,39.869,1974,Spitzer
Planet-174,Dwarf Planet,386.08,21.123,1922,James Webb
Planet-175,Dwarf Planet,937.35,42.776,1979,Voyager
Planet-176,Terrestrial,818.93,12.96,2021,Hubble
Planet-177,Exoplanet,361.24,47.0,1950,James Webb
Planet-178,Exoplanet,52.89,94.78,2013,Kepler
Planet-179,Dwarf Planet,376.57,30.167,1967,Hubble
Planet-180,Dwarf Planet,147.81,48.295,1930,Ground Telescope
Planet-181,Ice Giant,909.25,51.588,1940,Spitzer
Planet-182,Ice Giant,751.94,16.222,1995,Chandra
Planet-183,Terrestrial,789.42,20.3,1970,Kepler
Planet-184,Dwarf Planet,621.12,6.661,1968,James Webb
Planet-185,Dwarf Planet,796.04,97.799,1951,Hubble
Planet-186,Exoplanet,778.02,89.52,1905,JWST
Planet-187,Terrestrial,991.32,70.192,1935,Voyager
Planet-188,Gas Giant,664.92,23.782,1980,JWST
Planet-189,Dwarf Planet,734.69,10.967,2003,Hubble
Planet-190,Terrestrial,210.18,27.086,2024,Spitzer
Planet-191,Ice Giant,751.21,45.315,1996,TESS
Planet-192,Ice Giant,476.14,25.179,1932,Hubble
Planet-193,Ice Giant,910.57,86.638,1910,Ground Telescope
Planet-194,Exoplanet,931.48,73.548,2004,Hubble
Planet-195,Exoplanet,121.9,34.646,1958,Chandra
Planet-196,Dwarf Planet,619.5,95.32,1950,Ground Telescope
Planet-197,Ice Giant,567.03,79.03,1968,Galileo
Planet-198,Terrestrial,78.54,21.327,1974,James Webb
Planet-199,Terrestrial,701.54,9.276,1982,Galileo
Planet-200,Exoplanet,287.1,46.868,2022,Kepler
Planet-201,Terrestrial,817.52,11.905,1948,Voyager
Planet-202,Gas Giant,558.61,21.149,1967,James Webb
Planet-203,Gas Giant,234.33,51.306,1989,Kepler
Planet-204,Ice Giant,967.36,13.083,1979,Ground Telescope
Planet-205,Dwarf Planet,2.92,55.7,1952,Hubble
Planet-206,Gas Giant,310.52,4.927,1937,JWST
Planet-207,Gas Giant,936.23,12.937,1927,Chandra
Planet-208,Exoplanet,305.34,56.457,2024,Spitzer
Planet-209,Dwarf Planet,551.72,12.043,1970,Ground Telescope
Planet-210,Ice Giant,858.73,28.256,1920,JWST
Planet-211,Exoplanet,817.89,40.75,1912,TESS
Planet-212,Terrestrial,289.64,6.897,2016,Kepler
Planet-213,Dwarf Planet,526.91,37.007,1970,Ground Telescope
Planet-214,Ice Giant,445.74,32.063,1900,Galileo
Planet-215,Gas Giant,334.5,42.089,1939,James Webb
Planet-216,Gas Giant,348.46,48.31,1906,Kepler
Planet-217,Terrestrial,616.64,92.879,1942,JWST
Planet-218,Terrestrial,915.97,67.777,2025,Ground Telescope
Planet-219,Dwarf Planet,411.73,25.643,1947,Kepler
Planet-220,Exoplanet,187.4,27.022,2025,Hubble
Planet-221,Exoplanet,998.18,53.89,1902,Voyager
Planet-222,Gas Giant,773.23,65.454,1910,TESS
Planet-223,Gas Giant,41.45,2.584,1993,Galileo
Planet-224,Gas Giant,702.89,32.729,1974,Ground Telescope
Planet-225,Dwarf Planet,708.41,66.313,1972,Chandra
Planet-226,Ice Giant,189.06,63.65,1966,Kepler
Planet-227,Exoplanet,105.48,4.251,1973,Galileo
Planet-228,Exoplanet,709.66,96.428,1987,James Webb
Planet-229,Gas Giant,340.87,32.731,1978,Spitzer
Planet-230,Ice Giant,107.01,49.432,1931,Spitzer
Planet-231,Exoplanet,488.28,24.884,1951,Ground Telescope
Planet-232,Gas Giant,649.77,67.822,1975,Voyager
Planet-233,Gas Giant,133.45,57.66,1954,Kepler
Planet-234,Terrestrial,69.81,2.27,1991,Chandra
Planet-235,Ice Giant,214.13,83.241,1900,Spitzer
Planet-236,Gas Giant,239.8,69.69,1986,Voyager
Planet-237,Exoplanet,525.32,75.14,1961,Chandra
Planet-238,Exoplanet,45.94,45.506,1903,JWST
Planet-239,Gas Giant,826.46,43.698,2004,James Webb
Planet-240,Terrestrial,558.6,81.437,1968,Galileo
Planet-241,Exoplanet,980.0,33.824,1956,James Webb
Planet-242,Gas Giant,869.54,67.023,2009,Chandra
Planet-243,Dwarf Planet,25.57,82.901,1941,Voyager
Planet-244,Gas Giant,701.17,10.343,1931,Ground Telescope
Planet-245,Exoplanet,84.03,96.694,1908,Chandra
Planet-246,Exoplanet,518.84,28.339,1993,Ground Telescope
Planet-247,Dwarf Planet,874.55,92.002,1994,Ground Telescope
Planet-248,Terrestrial,154.6,7.15,2018,Spitzer
Planet-249,Terrestrial,982.45,6.937,2024,Voyager
Planet-250,Gas Giant,344.71,57.01,2015,Voyager
Planet-251,Dwarf Planet,169.79,40.486,1945,Galileo
Planet-252,Dwarf Planet,682.89,28.794,1979,Ground Telescope
Planet-253,Dwarf Planet,202.68,66.933,1914,TESS
Planet-254,Exoplanet,365.6,21.255,1980,Kepler
Planet-255,Exoplanet,76.58,81.968,1960,Ground Telescope
Planet-256,Gas Giant,192.12,45.064,2023,Chandra
Planet-257,Ice Giant,55.18,62.174,1990,Spitzer
Planet-258,Gas Giant,281.13,0.462,1961,Galileo
Planet-259,Gas Giant,689.98,63.568,1941,Chandra
Planet-260,Ice Giant,538.18,36.196,1928,Spitzer
Planet-261,Dwarf Planet,603.18,74.087,2017,Hubble
Planet-262,Ice Giant,181.36,10.108,1996,TESS
Planet-263,Ice Giant,44.79,37.644,1943,James Webb
Planet-264,Ice Giant,947.84,5.668,1923,Chandra
Planet-265,Ice Giant,172.82,53.5,1905,JWST
Planet-266,Ice Giant,987.47,89.545,1979,JWST
Planet-267,Ice Giant,505.58,48.223,1916,Galileo
Planet-268,Dwarf Planet,130.43,89.535,1970,TESS
Planet-269,Terrestrial,78.87,0.535,1917,Spitzer
Planet-270,Gas Giant,689.71,88.022,1964,Voyager
Planet-271,Ice Giant,84.51,56.302,1996,Voyager
Planet-272,Exoplanet,327.67,97.304,2025,Hubble
Planet-273,Dwarf Planet,941.2,0.339,1976,Voyager
Planet-274,Dwarf Planet,265.24,11.044,1959,Ground Telescope
Planet-275,Dwarf Planet,203.13,96.467,1936,Hubble
Planet-276,Dwarf Planet,111.16,4.431,1966,Kepler
Planet-277,Ice Giant,651.32,27.694,2012,Spitzer
Planet-278,Exoplanet,316.51,2.544,1919,Ground Telescope
Planet-279,Exoplanet,196.54,51.166,2012,Ground Telescope
Planet-280,Terrestrial,977.66,9.322,1941,Chandra
Planet-281,Terrestrial,17.98,71.957,1987,Hubble
Planet-282,Exoplanet,116.62,83.639,1946,Hubble
Planet-283,Gas Giant,371.46,76.388,1939,Ground Telescope
Planet-284,Gas Giant,698.63,45.998,1947,Kepler
Planet-285,Gas Giant,404.86,50.882,1901,Voyager
Planet-286,Ice Giant,105.92,76.938,2004,Hubble
Planet-287,Terrestrial,228.22,69.978,1942,James Webb
Planet-288,Gas Giant,626.79,15.445,1970,Galileo
Planet-289,Ice Giant,306.08,61.895,1979,Chandra
Planet-290,Dwarf Planet,101.08,88.876,1910,JWST
Planet-291,Terrestrial,98.43,91.017,1916,James Webb
Planet-292,Gas Giant,801.87,2.365,1907,James Webb
Planet-293,Ice Giant,531.3,4.61,2021,Voyager
Planet-294,Gas Giant,304.3,23.131,1995,Kepler
Planet-295,Exoplanet,291.84,16.513,1944,Spitzer
Planet-296,Gas Giant,710.22,96.311,1978,Hubble
Planet-297,Exoplanet,812.89,93.153,2016,Kepler
Planet-298,Terrestrial,428.04,85.648,1909,Kepler
Planet-299,Exoplanet,80.66,55.934,1924,Ground Telescope
Planet-300,Gas Giant,913.33,28.279,1932,Galileo
Planet-301,Terrestrial,316.53,40.266,1963,JWST
Planet-302,Ice Giant,863.8,57.639,1917,James Webb
Planet-303,Dwarf Planet,326.81,64.763,1965,Voyager
Planet-304,Gas Giant,344.72,91.241,2025,Kepler
Planet-305,Ice Giant,895.0,94.786,1927,Ground Telescope
Planet-306,Exoplanet,993.38,2.177,1972,James Webb
Planet-307,Dwarf Planet,860.13,32.851,2024,Kepler
Planet-308,Ice Giant,222.74,0.076,2025,James Webb
Planet-309,Gas Giant,769.95,87.703,1983,Spitzer
Planet-310,Ice Giant,375.84,6.659,1958,Galileo
Planet-311,Ice Giant,596.06,44.666,1942,Galileo
Planet-312,Ice Giant,461.38,55.059,1977,Spitzer
Planet-313,Ice Giant,148.31,29.147,1928,TESS
Planet-314,Terrestrial,663.4,63.683,1944,James Webb
Planet-315,Ice Giant,557.26,62.423,1914,Kepler
Planet-316,Exoplanet,558.96,40.433,1931,Ground Telescope
Planet-317,Terrestrial,811.45,1.452,2024,Ground Telescope
Planet-318,Terrestrial,337.59,30.809,1935,Voyager
Planet-319,Dwarf Planet,280.44,1.688,1902,Kepler
Planet-320,Terrestrial,617.74,81.391,1966,Chandra
Planet-321,Ice Giant,87.15,92.412,1915,Galileo
Planet-322,Exoplanet,651.59,22.049,1966,Spitzer
Planet-323,Exoplanet,837.06,39.788,1934,Hubble
Planet-324,Terrestrial,520.98,12.924,2022,James Webb
Planet-325,Exoplanet,545.28,37.879,1921,Hubble
Planet-326,Terrestrial,927.01,31.029,1953,Chandra
Planet-327,Ice Giant,229.82,85.055,1929,Chandra
Planet-328,Terrestrial,709.43,19.081,1995,Galileo
Planet-329,Dwarf Planet,122.93,41.475,2008,JWST
Planet-330,Exoplanet,372.96,90.072,1994,JWST
Planet-331,Gas Giant,108.52,36.152,1943,TESS
Planet-332,Terrestrial,677.92,6.914,1917,Galileo
Planet-333,Ice Giant,114.09,45.618,1908,Voyager
Planet-334,Gas Giant,667.88,17.548,1967,TESS
Planet-335,Terrestrial,191.51,64.414,2023,Ground Telescope
Planet-336,Dwarf Planet,149.91,89.042,1997,Ground Telescope
Planet-337,Gas Giant,279.66,72.928,1919,Hubble
Planet-338,Exoplanet,789.67,72.003,1961,Kepler
Planet-339,Dwarf Planet,496.94,63.308,1968,Voyager
Planet-340,Gas Giant,225.95,43.68,2015,Galileo
Planet-341,Dwarf Planet,821.64,98.791,1925,Kepler
Planet-342,Ice Giant,96.34,73.194,1951,Kepler
Planet-343,Exoplanet,875.37,1.85,1947,Voyager
Planet-344,Gas Giant,542.13,5.376,2003,Spitzer
Planet-345,Terrestrial,851.47,66.66,2025,Voyager
Planet-346,Gas Giant,887.77,2.044,1985,Hubble
Planet-347,Terrestrial,150.56,56.246,1971,Kepler
Planet-348,Terrestrial,430.8,56.876,1938,Galileo
Planet-349,Dwarf Planet,208.35,25.33,1987,Chandra
Planet-350,Gas Giant,387.01,48.791,2015,JWST
Planet-351,Terrestrial,762.69,6.339,1909,James Webb
Planet-352,Exoplanet,515.74,18.504,1956,Galileo
Planet-353,Dwarf Planet,712.57,3.671,1900,Chandra
Planet-354,Dwarf Planet,266.95,0.261,1981,Galileo
Planet-355,Terrestrial,230.04,57.103,1973,Kepler
Planet-356,Exoplanet,683.92,90.152,1912,Voyager
Planet-357,Ice Giant,954.15,62.744,1958,JWST
Planet-358,Exoplanet,744.12,16.618,1974,TESS
Planet-359,Terrestrial,602.07,91.365,1924,James Webb
Planet-360,Gas Giant,9.39,57.833,2025,JWST
Planet-361,Dwarf Planet,983.96,98.383,1906,Spitzer
Planet-362,Terrestrial,380.66,21.369,1924,Chandra
Planet-363,Exoplanet,425.24,50.75,2005,Kepler
Planet-364,Exoplanet,335.58,44.547,2008,JWST
Planet-365,Gas Giant,522.09,1.741,1912,Ground Telescope
Planet-366,Ice Giant,257.9,54.417,1959,Spitzer
Planet-367,Gas Giant,816.5,13.711,2003,Hubble
Planet-368,Exoplanet,148.36,30.574,1924,Ground Telescope
Planet-369,Gas Giant,735.71,92.241,1954,Ground Telescope
Planet-370,Ice Giant,172.5,3.91,1958,JWST
Planet-371,Gas Giant,133.76,34.819,1906,Kepler
Planet-372,Terrestrial,946.34,8.2,1996,Kepler
Planet-373,Terrestrial,262.32,61.496,2023,James Webb
Planet-374,Gas Giant,211.92,53.036,2002,Voyager
Planet-375,Ice Giant,225.78,26.303,1942,JWST
Planet-376,Gas Giant,567.92,1.996,1938,Spitzer
Planet-377,Ice Giant,378.76,30.935,1947,Voyager
Planet-378,Gas Giant,376.7,69.936,1900,Ground Telescope
Planet-379,Exoplanet,858.99,92.535,1950,Galileo
Planet-380,Exoplanet,400.12,29.053,1999,Hubble
Planet-381,Gas Giant,919.21,26.065,1950,Voyager
Planet-382,Ice Giant,765.22,43.036,1949,Spitzer
Planet-383,Ice Giant,497.83,82.896,1918,Spitzer
Planet-384,Dwarf Planet,861.34,19.178,2018,Hubble
Planet-385,Ice Giant,53.96,51.093,2004,James Webb
Planet-386,Terrestrial,869.2,55.018,2009,Galileo
Planet-387,Ice Giant,905.59,77.075,1994,Chandra
Planet-388,Ice Giant,12.33,87.654,1936,Hubble
Planet-389,Ice Giant,851.05,52.541,2003,JWST
Planet-390,Dwarf Planet,703.79,5.522,1966,James Webb
Planet-391,Dwarf Planet,973.66,53.267,1949,Spitzer
Planet-392,Gas Giant,170.95,46.599,1906,Galileo
Planet-393,Dwarf Planet,369.86,68.023,1942,TESS
Planet-394,Gas Giant,346.37,96.544,2000,TESS
Planet-395,Exoplanet,634.82,81.603,1955,Galileo
Planet-396,Exoplanet,368.93,31.265,1904,Voyager
Planet-397,Terrestrial,592.81,60.251,1930,James Webb
Planet-398,Gas Giant,461.97,33.167,1989,TESS
Planet-399,Ice Giant,1.01,73.697,1974,Spitzer
Planet-400,Dwarf Planet,669.97,6.005,1986,Spitzer
Planet-401,Dwarf Planet,990.57,39.016,1941,JWST
Planet-402,Dwarf Planet,11.92,45.541,2007,TESS
Planet-403,Dwarf Planet,852.72,81.347,1983,TESS
Planet-404,Ice Giant,458.75,15.884,1946,Voyager
Planet-405,Ice Giant,724.66,70.156,1936,JWST
Planet-406,Terrestrial,450.16,92.647,2011,TESS
Planet-407,Gas Giant,826.63,42.138,2016,James Webb
Planet-408,Gas Giant,50.29,92.706,1918,JWST
Planet-409,Exoplanet,544.82,73.162,1945,Kepler
Planet-410,Gas Giant,440.0,95.972,1916,Chandra
Planet-411,Ice Giant,577.63,11.359,2001,JWST
Planet-412,Ice Giant,546.55,67.116,1922,JWST
Planet-413,Dwarf Planet,257.23,1.792,2021,JWST
Planet-414,Exoplanet,946.98,5.142,1950,Spitzer
Planet-415,Ice Giant,265.97,85.928,1997,Hubble
Planet-416,Terrestrial,392.12,55.529,1912,Voyager
Planet-417,Exoplanet,611.41,32.673,2015,Galileo
Planet-418,Exoplanet,32.55,98.225,1933,James Webb
Planet-419,Gas Giant,655.33,99.547,1918,Kepler
Planet-420,Gas Giant,570.75,95.973,1961,Spitzer
Planet-421,Terrestrial,77.92,65.649,2014,Kepler
Planet-422,Dwarf Planet,81.61,4.488,1940,Galileo
Planet-423,Gas Giant,737.78,14.578,1938,Hubble
Planet-424,Terrestrial,679.59,59.277,2013,JWST
Planet-425,Exoplanet,268.25,95.919,1962,Galileo
Planet-426,Exoplanet,528.89,73.258,2021,Voyager
Planet-427,Terrestrial,853.56,69.668,1940,Galileo
Planet-428,Exoplanet,985.32,66.162,1947,TESS
Planet-429,Exoplanet,134.94,54.513,2022,Spitzer
Planet-430,Gas Giant,609.52,94.75,1954,Voyager
Planet-431,Terrestrial,468.9,80.255,1934,James Webb
Planet-432,Ice Giant,248.21,76.419,1906,TESS
Planet-433,Terrestrial,937.52,42.643,1948,Chandra
Planet-434,Gas Giant,19.23,79.163,2020,Hubble
Planet-435,Exoplanet,503.21,67.791,1966,Voyager
Planet-436,Ice Giant,719.58,84.529,1914,Hubble
Planet-437,Terrestrial,961.38,89.228,1982,Chandra
Planet-438,Dwarf Planet,12.97,51.808,1947,JWST
Planet-439,Ice Giant,898.25,36.131,1901,Chandra
Planet-440,Exoplanet,651.69,64.545,1927,Spitzer
Planet-441,Terrestrial,4.06,49.467,1910,James Webb
Planet-442,Ice Giant,991.61,44.412,1961,JWST
Planet-443,Gas Giant,969.61,60.269,1987,Hubble
Planet-444,Dwarf Planet,98.54,22.901,1951,James Webb
Planet-445,Ice Giant,816.12,10.623,2022,Galileo
Planet-446,Ice Giant,330.25,44.5,2012,Voyager
Planet-447,Exoplanet,772.9,69.987,1974,James Webb
Planet-448,Exoplanet,704.28,82.436,1909,Voyager
Planet-449,Dwarf Planet,607.91,3.715,1971,James Webb
Planet-450,Gas Giant,430.24,70.409,1935,Voyager
Planet-451,Ice Giant,135.02,36.055,1998,Hubble
Planet-452,Terrestrial,454.51,41.135,2013,Kepler
Planet-453,Exoplanet,867.18,19.36,1938,Kepler
Planet-454,Dwarf Planet,416.14,73.94,1974,James Webb
Planet-455,Gas Giant,304.88,79.916,2012,Voyager
Planet-456,Ice Giant,523.72,12.091,1956,Galileo
Planet-457,Ice Giant,486.87,24.994,2006,Galileo
Planet-458,Ice Giant,462.8,22.919,1917,James Webb
Planet-459,Dwarf Planet,434.71,28.831,1979,Voyager
Planet-460,Exoplanet,141.32,36.315,1905,Galileo
Planet-461,Dwarf Planet,230.21,14.093,2014,Kepler
Planet-462,Terrestrial,549.08,75.92,1960,James Webb
Planet-463,Terrestrial,706.58,4.571,1913,Voyager
Planet-464,Gas Giant,636.13,37.895,1926,Chandra
Planet-465,Exoplanet,596.96,99.257,1980,TESS
Planet-466,Gas Giant,159.11,98.171,2023,James Webb
Planet-467,Dwarf Planet,533.0,30.745,1979,Hubble
Planet-468,Gas Giant,10.67,50.15,1979,Spitzer
Planet-469,Gas Giant,568.09,69.507,1910,Hubble
